ts,min,rss_kb,private_mb,threads,handles,ventana_visible
21:36:37,0,233956,173,29,756,0
21:37:38,1,235236,175,29,756,0
21:38:38,2,237276,177,29,756,0
21:39:38,3,234268,174,29,756,0
21:40:38,4,236512,176,29,756,0
21:41:38,5,240228,180,29,756,0
21:42:38,6,238008,178,29,755,0
21:43:38,7,237112,177,29,758,0
21:44:38,8,237664,177,29,756,0
21:45:38,9,229852,177,29,756,0
21:46:38,10,226596,174,29,756,0
21:47:38,11,224020,172,29,756,0
21:48:38,12,229740,177,29,756,0
21:49:38,13,230372,178,29,756,0
21:50:38,14,210508,178,29,756,0
21:51:39,15,210820,178,29,756,0
21:52:39,16,212696,180,29,756,0
21:53:39,17,207980,175,29,756,0
21:54:39,18,211588,179,29,756,0
21:55:39,19,208840,176,29,756,0
21:56:39,20,212220,179,29,756,0
21:57:39,21,208672,176,29,756,0
21:58:39,22,209600,177,29,756,0
21:59:39,23,208600,176,29,755,0
22:00:39,24,207736,175,29,758,0
22:01:39,25,208036,175,29,755,0
22:02:39,26,210012,177,29,758,0
22:03:39,27,209016,176,29,756,0
22:04:39,28,210704,178,29,756,0
22:05:39,29,209636,177,29,756,0
22:06:40,30,210844,178,29,756,0
22:07:40,31,209068,177,29,756,0
22:08:40,32,211456,179,29,756,0
22:09:40,33,210844,178,29,755,0
22:10:40,34,208988,177,29,758,0
22:11:40,35,212228,180,29,756,0
22:12:40,36,207844,175,29,756,0
22:13:40,37,208900,176,29,762,0
22:14:40,38,206804,174,29,756,0
22:15:40,39,209252,177,29,755,0
22:16:40,40,210888,178,29,758,0
22:17:40,41,210024,178,29,756,0
22:18:40,42,212160,180,29,756,0
22:19:40,43,213748,181,29,756,0
22:20:41,44,211504,179,29,756,0
22:21:41,45,211996,180,29,755,0
FIN
